r,z,u_r,u_z,u_swirl,p,T
0.0,0.0,0.0,0.0,-9.009758175e-05,0.0,1700.270213
0.0,0.0003576502415,-7.953320734e-07,2.723328426e-07,-8.919680853e-05,-0.01362720766,1700.649637
0.0,0.000741017226,-1.553662281e-06,5.354244177e-07,-8.823471256e-05,-0.03985992034,1701.178868
0.0,0.001151950109,-3.521055404e-06,7.838680068e-07,-8.720687863e-05,-0.06581625043,1701.688021
0.0,0.001592431009,-6.216312752e-06,1.017046686e-06,-8.610881686e-05,-0.09366651121,1702.188084
0.0,0.002064584567,-9.902938937e-06,1.23467481e-06,-8.49359448e-05,-0.1218830495,1702.685634
0.0,0.002570688198,-1.456001668e-05,1.433860614e-06,-8.368348362e-05,-0.1508585013,1703.184821
0.0,0.003113183073,-2.027065464e-05,1.612210641e-06,-8.234642751e-05,-0.1803744883,1703.688403
0.0,0.003694685893,-2.706425636e-05,1.766627692e-06,-8.091953277e-05,-0.210415683,1704.198297
0.0,0.004318001515,-3.496439459e-05,1.893699567e-06,-7.939731176e-05,-0.2408828873,1704.715861
0.0,0.004986136477,-4.396212641e-05,1.989639838e-06,-7.777403094e-05,-0.2716815504,1705.242054
0.0,0.005702313501,-5.401562024e-05,2.050301981e-06,-7.604371487e-05,-0.3026966273,1705.777523
0.0,0.006469987038,-6.503120754e-05,2.071269703e-06,-7.420015188e-05,-0.3337766573,1706.322645
0.0,0.007292859931,-7.686433506e-05,2.047665649e-06,-7.223690102e-05,-0.3647910486,1706.87755
0.0,0.008174901275,-8.927298516e-05,1.97486889e-06,-7.014730194e-05,-0.3954868596,1707.442125
0.0,0.009120365561,-0.0001019665032,1.846906155e-06,-6.792448674e-05,-0.4258064579,1708.016003
0.0,0.0101338132,-0.0001144452621,1.66037308e-06,-6.556139832e-05,-0.4552183465,1708.598558
0.0,0.01122013251,-0.000126242573,1.406448933e-06,-6.305081918e-05,-0.4840316982,1709.18888
0.0,0.01238456332,-0.000136408853,1.086089726e-06,-6.038540005e-05,-0.5109716224,1709.785762
0.0,0.0136327222,-0.0001442697109,6.818499181e-07,-5.755770525e-05,-0.5375520279,1710.387677
0.0,0.01497062961,-0.000148785417,2.061257642e-07,-5.4560252e-05,-0.5613205683,1710.99277
0.0,0.01640473889,-0.0001476503423,-3.538435938e-07,-5.138557148e-05,-0.5823574563,1711.598849
0.0,0.01794196741,-0.0001396784343,-1.011245491e-06,-4.802627819e-05,-0.6025596624,1712.203391
0.0,0.01958972992,-0.000122832191,-1.749422128e-06,-4.447515702e-05,-0.6187572802,1712.803559
0.0,0.02135597434,-9.425984735e-05,-2.586222459e-06,-4.072528611e-05,-0.6325402358,1713.396246
0.0,0.02324922009,-5.094897482e-05,-3.509394239e-06,-3.677017447e-05,-0.642393083,1713.978134
0.0,0.02527859915,1.070137938e-05,-4.512048058e-06,-3.260396016e-05,-0.6490610028,1714.545774
0.0,0.02745390016,9.490265028e-05,-5.573607445e-06,-2.822165065e-05,-0.652099803,1715.095693
0.0,0.0297856156,0.0002063489968,-6.747509964e-06,-2.361944765e-05,-0.6508280627,1715.624514
0.0,0.0322849924,0.0003502125131,-8.000142726e-06,-1.879517464e-05,-0.6463147691,1716.129084
0.0,0.03496408621,0.0005323874522,-9.253329638e-06,-1.374881855e-05,-0.6384820204,1716.606603
0.0,0.03783581952,0.0007588558058,-1.051148285e-05,-8.483233774e-06,-0.6274385076,1717.05474
0.0,0.04091404404,0.001035955111,-1.173300998e-05,-3.005046825e-06,-0.614270646,1717.47172
0.0,0.04421360745,0.001369437718,-1.287056583e-05,2.67423078e-06,-0.5997451235,1717.856388
0.0,0.04775042506,0.001764424184,-1.386301846e-05,8.53685071e-06,-0.5852359328,1718.20823
0.0,0.05154155658,0.002223927471,-1.463973121e-05,1.455727788e-05,-0.5725536851,1718.527357
0.0,0.05560528838,0.002748369939,-1.51178411e-05,2.070050639e-05,-0.5636889198,1718.814465
0.0,0.0599612217,0.003332729033,-1.519992461e-05,2.692049901e-05,-0.5600781431,1719.070787
0.0,0.06463036722,0.003966026328,-1.4761905e-05,3.315907975e-05,-0.5651305089,1719.29804
0.0,0.06963524638,0.004628195265,-1.368466297e-05,3.934583148e-05,-0.5789289237,1719.49844
0.0,0.075,0.005286776448,-1.191893537e-05,4.540575526e-05,-0.6042386334,1719.674794
0.0,0.08036475362,0.00585989213,-9.562523949e-06,5.088798832e-05,-0.6380985929,1719.820491
0.0,0.08536963278,0.00628415665,-6.915201449e-06,5.549690554e-05,-0.6785406039,1719.934924
0.0,0.0900387783,0.006559417994,-4.153091186e-06,5.938071451e-05,-0.7189798067,1720.027083
0.0,0.09439471162,0.006697664495,-1.383032143e-06,6.267427807e-05,-0.7577832944,1720.102612
0.0,0.09845844342,0.006702986256,1.243119192e-06,6.549277753e-05,-0.7998655632,1720.163865
0.0,0.1022495749,0.006594092449,3.678751763e-06,6.793165889e-05,-0.8313205528,1720.209208
0.0,0.1057863926,0.006397196215,5.883615249e-06,7.006762276e-05,-0.8578827819,1720.229916
0.0,0.109085956,0.006126186477,7.812761697e-06,7.196203592e-05,-0.8810404524,1720.215936
0.0,0.1121641805,0.005798482873,9.45997274e-06,7.36629475e-05,-0.8979833997,1720.148799
0.0,0.1150359138,0.005430853627,1.08199391e-05,7.520637908e-05,-0.9113287548,1719.997583
0.0,0.1177150076,0.005037541073,1.19052501e-05,7.661917308e-05,-0.9205665596,1719.728774
0.0,0.1202143844,0.004631212036,1.271611693e-05,7.792106521e-05,-0.9281080329,1719.3088
0.0,0.1225460998,0.004222175635,1.329071627e-05,7.912645052e-05,-0.9345092717,1718.708705
0.0,0.1247214008,0.003819040777,1.365834971e-05,8.024579299e-05,-0.9415863345,1717.909476
0.0,0.1267507799,0.003428448175,1.383601828e-05,8.128674408e-05,-0.9502917786,1716.905532
0.0,0.1286440257,0.003055520655,1.384134626e-05,8.225504188e-05,-0.9618214595,1715.705558
0.0,0.1304102701,0.002703888969,1.368930041e-05,8.315516569e-05,-0.9768247036,1714.330824
0.0,0.1320580326,0.002376020553,1.340685783e-05,8.399081714e-05,-0.9957525102,1712.811774
0.0,0.1335952611,0.002073337809,1.301645538e-05,8.476525205e-05,-1.018635417,1711.183915
0.0,0.1350293704,0.001796447374,1.253693467e-05,8.548149271e-05,-1.045364902,1709.483936
0.0,0.1363672778,0.001545279197,1.19854908e-05,8.614246351e-05,-1.075578272,1707.746625
