r,z,u_r,u_z,u_swirl,p,T
0.0,0.0,0.0,0.0,-9.009758175e-05,0.0,1700.152928
0.0,0.0003576502415,-6.113818625e-08,-1.555694171e-07,-8.940410508e-05,-0.01190669022,1700.362544
0.0,0.000741017226,-1.4403169e-07,5.646410226e-07,-8.8662612e-05,-0.03547422629,1700.652794
0.0,0.001151950109,-2.515977322e-07,9.926116583e-07,-8.78696186e-05,-0.05848823518,1700.929675
0.0,0.001592431009,-3.86330537e-07,1.939714847e-06,-8.702151756e-05,-0.08257451686,1701.199525
0.0,0.002064584567,-5.498771422e-07,3.456723093e-06,-8.611455814e-05,-0.1077238305,1701.466071
0.0,0.002570688198,-7.44649696e-07,5.723010401e-06,-8.51447801e-05,-0.1340413562,1701.731605
0.0,0.003113183073,-9.732443407e-07,8.94207017e-06,-8.410798645e-05,-0.1614135175,1701.997586
0.0,0.003694685893,-1.238556238e-06,1.338785677e-05,-8.299972544e-05,-0.1898843289,1702.264971
0.0,0.004318001515,-1.543613594e-06,1.938516596e-05,-8.181527423e-05,-0.2194643178,1702.534377
0.0,0.004986136477,-1.891572929e-06,2.732965023e-05,-8.054962277e-05,-0.2501745971,1702.806183
0.0,0.005702313501,-2.285652865e-06,3.769636397e-05,-7.919745758e-05,-0.2820292082,1703.080577
0.0,0.006469987038,-2.729085871e-06,5.105466738e-05,-7.77531445e-05,-0.3150422245,1703.357595
0.0,0.007292859931,-3.225044126e-06,6.808311943e-05,-7.621071008e-05,-0.3492259774,1703.637133
0.0,0.008174901275,-3.776557615e-06,8.958688183e-05,-7.45638217e-05,-0.3845931978,1703.918963
0.0,0.009120365561,-4.386412031e-06,0.0001165166632,-7.280576562e-05,-0.4211582661,1704.202734
0.0,0.0101338132,-5.057024597e-06,0.0001499895493,-7.092942488e-05,-0.4589394084,1704.487983
0.0,0.01122013251,-5.790296611e-06,0.0001913112635,-6.892725659e-05,-0.4979616379,1704.774137
0.0,0.01238456332,-6.587436162e-06,0.0002419997769,-6.679126836e-05,-0.5382599155,1705.060514
0.0,0.0136327222,-7.448756688e-06,0.0003038091768,-6.451299609e-05,-0.5798847069,1705.346338
0.0,0.01497062961,-8.373419888e-06,0.0003787539413,-6.208348362e-05,-0.6229054649,1705.630742
0.0,0.01640473889,-9.359184377e-06,0.0004691301004,-5.949326593e-05,-0.6674221467,1705.912785
0.0,0.01794196741,-1.040201305e-05,0.0005775359068,-5.673235892e-05,-0.713565031,1706.191466
0.0,0.01958972992,-1.149582794e-05,0.0007068805571,-5.37902615e-05,-0.7615220245,1706.465746
0.0,0.02135597434,-1.263184375e-05,0.0008603945948,-5.065597274e-05,-0.8115198572,1706.73457
0.0,0.02324922009,-1.379853177e-05,0.00104160529,-4.731803386e-05,-0.8638954332,1706.996891
0.0,0.02527859915,-1.498029602e-05,0.001254329481,-4.376460232e-05,-0.9190130584,1707.251695
0.0,0.02745390016,-1.615827186e-05,0.001502570874,-3.998357437e-05,-0.9774562939,1707.498029
0.0,0.0297856156,-1.73073357e-05,0.001790496126,-3.596276886e-05,-1.039758217,1707.735021
0.0,0.0322849924,-1.839939998e-05,0.002122156816,-3.169019248e-05,-1.106910459,1707.9619
0.0,0.03496408621,-1.939618336e-05,0.002501486873,-2.715439911e-05,-1.179591422,1708.178008
0.0,0.03783581952,-2.025927307e-05,0.002931632328,-2.23449703e-05,-1.259479444,1708.382811
0.0,0.04091404404,-2.093223728e-05,0.003415133183,-1.725310907e-05,-1.347206183,1708.575901
0.0,0.04421360745,-2.136794415e-05,0.003952358511,-1.187236528e-05,-1.445654954,1708.756993
0.0,0.04775042506,-2.148428691e-05,0.004542411568,-6.199454222e-06,-1.55477056,1708.92592
0.0,0.05154155658,-2.123461922e-05,0.005179459777,-2.351200608e-07,-1.679688633,1709.082619
0.0,0.05560528838,-2.049777185e-05,0.005855986531,6.015099164e-06,-1.817916353,1709.22713
0.0,0.0599612217,-1.92562814e-05,0.006553963511,1.254055398e-05,-1.979155636,1709.35958
0.0,0.06463036722,-1.731904316e-05,0.007255170893,1.932569054e-05,-2.153850483,1709.480195
0.0,0.06963524638,-1.477847065e-05,0.007919450958,2.63525117e-05,-2.361137646,1709.589339
0.0,0.075,-1.127963962e-05,0.008517146878,3.360738163e-05,-2.572944169,1709.687616
0.0,0.08036475362,-7.450051613e-06,0.008948405006,4.059669087e-05,-2.816789306,1709.77019
0.0,0.08536963278,-3.345693747e-06,0.009195510013,4.690306636e-05,-3.009372324,1709.835492
0.0,0.0900387783,4.245873708e-07,0.009279496406,5.263600944e-05,-3.235223273,1709.887919
0.0,0.09439471162,4.020060341e-06,0.00917370969,5.78940344e-05,-3.438624111,1709.930601
0.0,0.09845844342,7.576048706e-06,0.008956193756,6.276077683e-05,-3.596786269,1709.96542
0.0,0.1022495749,1.070873824e-05,0.008634421339,6.730645813e-05,-3.767475826,1709.992707
0.0,0.1057863926,1.35927787e-05,0.008220747631,7.158576084e-05,-3.904316699,1710.010263
0.0,0.109085956,1.596846239e-05,0.00774890608,7.564150371e-05,-4.043352826,1710.012227
0.0,0.1121641805,1.802987554e-05,0.007231711479,7.950438397e-05,-4.158827535,1709.989724
0.0,0.1150359138,1.965655742e-05,0.006691780199,8.319649237e-05,-4.268986307,1709.926382
0.0,0.1177150076,2.095539224e-05,0.00614075721,8.673235938e-05,-4.363823287,1709.798391
0.0,0.1202143844,2.188984733e-05,0.00559277928,9.012135016e-05,-4.451853776,1709.579581
0.0,0.1225460998,2.252200229e-05,0.005056499314,9.336888023e-05,-4.530140944,1709.24396
0.0,0.1247214008,2.285615591e-05,0.004540225811,9.647791361e-05,-4.602916514,1708.770382
0.0,0.1267507799,2.293514603e-05,0.004049263425,9.944987648e-05,-4.669964823,1708.146668
0.0,0.1286440257,2.277943145e-05,0.003587859286,0.0001022855042,-4.733554546,1707.371817
0.0,0.1304102701,2.242267318e-05,0.003158479702,0.0001049853694,-4.794164375,1706.455912
0.0,0.1320580326,2.188952512e-05,0.002762602152,0.0001075502865,-4.852948919,1705.418081
0.0,0.1335952611,2.120789376e-05,0.00240062384,0.0001099815385,-4.910274379,1704.283372
0.0,0.1350293704,2.040132341e-05,0.002072233041,0.0001122810115,-4.96659106,1703.079419
0.0,0.1363672778,1.94929887e-05,0.001776488706,0.0001144512313,-5.021987885,1701.833574
0.0,0.1376154367,1.850325088e-05,0.001512023088,0.0001164953493,-5.076513074,1700.570841
0.0,0.1387798675,1.745091318e-05,0.001277142441,0.0001184170841,-5.130066597,1699.31264
0.0,0.1398661868,1.635254404e-05,0.001069948575,0.000120220638,-5.182522907,1698.076315
0.0,0.1408796344,1.52229142e-05,0.0008884188795,0.0001219106067,-5.233717163,1696.87516
0.0,0.1418250987,1.407489955e-05,0.0007304805216,0.0001234918813,-5.283490953,1695.718776
0.0,0.1427071401,1.291967778e-05,0.0005940635825,0.0001249695584,-5.331696324,1694.613603
0.0,0.143530013,1.176683288e-05,0.0004771446112,0.0001263488548,-5.378208044,1693.563494
0.0,0.1442976865,1.062447688e-05,0.0003777766984,0.0001276350318,-5.422930084,1692.570265
0.0,0.1450138635,9.499439186e-06,0.0002941134205,0.0001288333285,-5.465786157,1691.634192
0.0,0.1456819985,8.397251979e-06,0.0002244198563,0.0001299489074,-5.506746114,1690.754423
0.0,0.1463053141,7.322606966e-06,0.0001670893583,0.0001309868081,-5.545758942,1689.929319
0.0,0.1468868169,6.278823583e-06,0.0001206289481,0.0001319519121,-5.582899014,1689.156722
0.0,0.1474293118,5.269362312e-06,8.370233215e-05,0.0001328489158,-5.618009048,1688.434152
0.0,0.1479354154,4.295143684e-06,5.502789351e-05,0.0001336823111,-5.651519789,1687.758959
0.0,0.148407569,3.360424881e-06,3.361000887e-05,0.0001344563694,-5.682412984,1687.12843
0.0,0.1488480499,2.460039006e-06,1.820120003e-05,0.000135175132,-5.712864707,1686.539864
0.0,0.1492589828,1.607501983e-06,8.522258939e-06,0.0001358423935,-5.73708824,1685.990621
0.0,0.1496423498,7.848142747e-07,2.456308725e-06,0.0001364616514,-5.77176527,1685.478163
0.0,0.15,0.0,0.0,0.0001370361429,-5.796440376,1685.114216
0.0003270552337,0.15,0.0,0.0,0.0002740722859,-5.796358785,1685.0
0.0003276437227,0.1496423498,1.564682206e-06,2.438901393e-06,0.0002729227084,-5.772337678,1685.478086
