r,z,u_r,u_z,u_swirl,p,T
0.0,0.0,0.0,0.0,-9.009758175e-05,0.0,1700.216883
0.0,0.0003576502415,-5.16449906e-07,1.244338162e-07,-8.926022346e-05,-0.01263406641,1700.516664
0.0,0.000741017226,-5.976852562e-07,2.337510919e-07,-8.836580554e-05,-0.03772490513,1700.932841
0.0,0.001151950109,-1.510305109e-06,3.236924018e-07,-8.741020724e-05,-0.06254229441,1701.331052
0.0,0.001592431009,-2.596025535e-06,3.928329474e-07,-8.638922882e-05,-0.08862720263,1701.720231
0.0,0.002064584567,-3.958689293e-06,4.400750394e-07,-8.529857445e-05,-0.1155515841,1702.105672
0.0,0.002570688198,-5.529613911e-06,4.628728454e-07,-8.413375491e-05,-0.1433934267,1702.490661
0.0,0.003113183073,-7.251355863e-06,4.586677394e-07,-8.289005708e-05,-0.172034628,1702.877332
0.0,0.003694685893,-9.018165173e-06,4.244571191e-07,-8.156253095e-05,-0.2014741016,1703.267113
0.0,0.004318001515,-1.069174859e-05,3.569846031e-07,-8.014598103e-05,-0.2316730515,1703.66097
0.0,0.004986136477,-1.208446296e-05,2.525342945e-07,-7.863496083e-05,-0.2626040052,1704.059533
0.0,0.005702313501,-1.299262182e-05,1.07950656e-07,-7.702377147e-05,-0.2943089223,1704.463173
0.0,0.006469987038,-1.305724864e-05,-8.012980161e-08,-7.530646123e-05,-0.3263514705,1704.87204
0.0,0.007292859931,-1.183231197e-05,-3.171994588e-07,-7.347682638e-05,-0.359022261,1705.28609
0.0,0.008174901275,-8.921095676e-06,-6.068435614e-07,-7.152841379e-05,-0.3923568112,1705.705091
0.0,0.009120365561,-3.693926883e-06,-9.522186944e-07,-6.945452488e-05,-0.4258475087,1706.128629
0.0,0.0101338132,4.643273238e-06,-1.357627391e-06,-6.724822504e-05,-0.4596691526,1706.556106
0.0,0.01122013251,1.698894669e-05,-1.826368285e-06,-6.490235988e-05,-0.4935990373,1706.986739
0.0,0.01238456332,3.446367696e-05,-2.361794969e-06,-6.240957451e-05,-0.5275787328,1707.419561
0.0,0.0136327222,5.839356153e-05,-2.966420088e-06,-5.976234204e-05,-0.5614661289,1707.853421
0.0,0.01497062961,9.036351114e-05,-3.642122897e-06,-5.695299788e-05,-0.5951645059,1708.286992
0.0,0.01640473889,0.0001322387493,-4.389767095e-06,-5.397378228e-05,-0.6285661186,1708.718778
0.0,0.01794196741,0.0001862036711,-5.209001543e-06,-5.081690377e-05,-0.6615923241,1709.147136
0.0,0.01958972992,0.0002547914396,-6.097753796e-06,-4.74746189e-05,-0.6941824483,1709.570294
0.0,0.02135597434,0.0003409112894,-7.052005293e-06,-4.393933998e-05,-0.7263235447,1709.986394
0.0,0.02324922009,0.0004478722279,-8.065194476e-06,-4.020377866e-05,-0.7580454217,1710.393529
0.0,0.02527859915,0.0005793850688,-9.127873087e-06,-3.626113421e-05,-0.7894665142,1710.789794
0.0,0.02745390016,0.0007395626033,-1.022680344e-05,-3.210534331e-05,-0.8207677171,1711.173338
0.0,0.0297856156,0.000932860841,-1.134473245e-05,-2.77314064e-05,-0.8522925502,1711.542423
0.0,0.0322849924,0.001164028468,-1.245886353e-05,-2.31358131e-05,-0.8844509006,1711.895472
0.0,0.03496408621,0.001437914917,-1.354120187e-05,-1.831708213e-05,-0.9179423897,1712.231119
0.0,0.03783581952,0.001759328736,-1.45558316e-05,-1.327645179e-05,-0.9534832166,1712.548245
0.0,0.04091404404,0.002132573726,-1.546094903e-05,-8.018733077e-06,-0.992308889,1712.846002
0.0,0.04421360745,0.00256117153,-1.620357999e-05,-2.553331347e-06,-1.035471509,1713.123818
0.0,0.04775042506,0.003046859939,-1.672608679e-05,3.104562005e-06,-1.084975683,1713.381403
0.0,0.05154155658,0.003589186735,-1.695539055e-05,8.932663757e-06,-1.142057631,1713.618726
0.0,0.05560528838,0.004183466695,-1.68208297e-05,1.490029907e-05,-1.209782107,1713.835998
0.0,0.0599612217,0.00482053293,-1.622928499e-05,2.096729525e-05,-1.288906859,1714.033653
0.0,0.06463036722,0.005482637269,-1.511351167e-05,2.708355105e-05,-1.383886,1714.212342
0.0,0.06963524638,0.00614489151,-1.336647405e-05,3.318963599e-05,-1.492599353,1714.372969
0.0,0.075,0.006768708039,-1.097189212e-05,3.922519641e-05,-1.621777027,1714.516812
0.0,0.08036475362,0.007277194477,-8.041442377e-06,4.475184722e-05,-1.752458685,1714.637229
0.0,0.08536963278,0.007612447729,-5.029200743e-06,4.946879162e-05,-1.890269111,1714.732383
0.0,0.0900387783,0.007790197864,-1.927525391e-06,5.351376673e-05,-2.005721326,1714.808913
0.0,0.09439471162,0.007821786542,9.515029558e-07,5.701196762e-05,-2.133323445,1714.871332
0.0,0.09845844342,0.007711599272,3.616790126e-06,6.006853368e-05,-2.24582981,1714.922008
0.0,0.1022495749,0.00750158106,6.110451702e-06,6.276946011e-05,-2.338213051,1714.960654
0.0,0.1057863926,0.007205087532,8.264591118e-06,6.518386704e-05,-2.431395571,1714.982704
0.0,0.109085956,0.006838710274,1.014279566e-05,6.736586497e-05,-2.507381816,1714.979517
0.0,0.1121641805,0.006424583908,1.168265627e-05,6.935753179e-05,-2.579910543,1714.937504
0.0,0.1150359138,0.005977182152,1.293941464e-05,7.118996754e-05,-2.63993746,1714.833887
0.0,0.1177150076,0.005512680286,1.389643036e-05,7.288629001e-05,-2.695518138,1714.639411
0.0,0.1202143844,0.005042217779,1.459736329e-05,7.446329058e-05,-2.743158943,1714.323777
