r,z,u_r,u_z,u_swirl,p,T
0.0,0.0,0.0,0.0,-9.009758175e-05,0.0,1700.135908
0.0,0.0003576502415,-1.050286705e-07,-4.90023117e-08,-8.93769231e-05,-0.01214348041,1700.320721
0.0,0.000741017226,-2.330995134e-07,8.226612111e-07,-8.860705258e-05,-0.03545238449,1700.576013
0.0,0.001151950109,-3.86072329e-07,1.561203735e-06,-8.778439471e-05,-0.05779083907,1700.818861
0.0,0.001592431009,-5.665992171e-07,3.003937019e-06,-8.690528831e-05,-0.08155673,1701.054935
0.0,0.002064584567,-7.761639188e-07,5.185075977e-06,-8.596597123e-05,-0.1063788573,1701.287563
0.0,0.002570688198,-1.016982457e-06,8.330124151e-06,-8.496249543e-05,-0.1324620139,1701.518775
0.0,0.003113183073,-1.291396454e-06,1.266696426e-05,-8.389069705e-05,-0.1596884448,1701.749853
0.0,0.003694685893,-1.60198325e-06,1.850261345e-05,-8.27461803e-05,-0.1881289821,1701.981625
0.0,0.004318001515,-1.951387937e-06,2.619508059e-05,-8.152430474e-05,-0.2178099338,1702.214615
0.0,0.004986136477,-2.342324157e-06,3.617656326e-05,-8.022017388e-05,-0.2487751039,1702.449129
0.0,0.005702313501,-2.777503055e-06,4.896072042e-05,-7.882862457e-05,-0.2810624855,1702.685308
0.0,0.006469987038,-3.259579715e-06,6.515781795e-05,-7.734421658e-05,-0.31471372,1702.923152
0.0,0.007292859931,-3.791075129e-06,8.548916818e-05,-7.576122225e-05,-0.3497718485,1703.162539
0.0,0.008174901275,-4.374290779e-06,0.0001108041916,-7.407361641e-05,-0.3862840402,1703.403239
0.0,0.009120365561,-5.011201297e-06,0.0001420987709,-7.227506688e-05,-0.4243030748,1703.644915
0.0,0.0101338132,-5.703327958e-06,0.0001805354074,-7.035892627e-05,-0.4638897469,1703.887134
0.0,0.01122013251,-6.451593495e-06,0.0002274644997,-6.831822626e-05,-0.5051164726,1704.12937
0.0,0.01238456332,-7.25613962e-06,0.0002844470339,-6.614567404e-05,-0.5480699246,1704.371011
