case_T_hot,node,r,z,u_r,u_z,u_swirl,pressure,T
1765.0,1,0.0,0.0,0.0,0.0,-9.009758175e-05,0.0,1700.200167
1765.0,2,0.0003576502415,0.0,7.489374622e-08,-4.216372483e-07,-8.928380645e-05,-0.0123323821,1700.475785
1765.0,3,0.000741017226,0.0,1.329177389e-07,-2.794096911e-07,-8.841455731e-05,-0.03704012122,1700.857972
1765.0,4,0.001151950109,0.0,1.700111339e-07,-8.400008608e-07,-8.748582361e-05,-0.06144025318,1701.223164
1765.0,5,0.001592431009,0.0,1.845504274e-07,-1.386431684e-06,-8.649351424e-05,-0.0869194146,1701.579632
1765.0,6,0.002064584567,0.0,1.75227191e-07,-1.975160631e-06,-8.543344087e-05,-0.1133863212,1701.932264
1765.0,7,0.002570688198,0.0,1.394098932e-07,-2.508795763e-06,-8.430122318e-05,-0.1407767493,1702.284084
1765.0,8,0.003113183073,0.0,7.412319725e-08,-2.91506572e-06,-8.309225839e-05,-0.1692365187,1702.637039
1765.0,9,0.003694685893,0.0,-2.163509998e-08,-3.032378025e-06,-8.180170746e-05,-0.1983005931,1702.992425
1765.0,10,0.004318001515,0.0,-1.523730985e-07,-2.61201467e-06,-8.042448589e-05,-0.2282077246,1703.351101
1765.0,11,0.004986136477,0.0,-3.227645541e-07,-1.478296836e-06,-7.895525689e-05,-0.2592435303,1703.713618
1765.0,12,0.005702313501,0.0,-5.346064143e-07,6.707650115e-07,-7.738842773e-05,-0.2908628754,1704.080284
1765.0,13,0.006469987038,0.0,-7.919357087e-07,4.254976597e-06,-7.571814752e-05,-0.323313962,1704.451201
1765.0,14,0.007292859931,0.0,-1.098380897e-06,9.730195709e-06,-7.39383054e-05,-0.3564467853,1704.826296
1765.0,15,0.008174901275,0.0,-1.45768766e-06,1.768579467e-05,-7.204253065e-05,-0.3902481888,1705.20532
1765.0,16,0.009120365561,0.0,-1.873345099e-06,2.882748986e-05,-7.002419398e-05,-0.4246384124,1705.587862
1765.0,17,0.0101338132,0.0,-2.348675089e-06,4.401396186e-05,-6.787641324e-05,-0.4595573428,1705.973349
1765.0,18,0.01122013251,0.0,-2.886618379e-06,6.427354329e-05,-6.55920653e-05,-0.4949316664,1706.361044
1765.0,19,0.01238456332,0.0,-3.489663977e-06,9.083304589e-05,-6.316380065e-05,-0.5306929774,1706.750051
1765.0,20,0.0136327222,0.0,-4.159599447e-06,0.0001251441497,-6.058406669e-05,-0.5667750991,1707.139324
1765.0,21,0.01497062961,0.0,-4.897308069e-06,0.0001689131965,-5.784513686e-05,-0.6031216265,1707.527666
1765.0,22,0.01640473889,0.0,-5.702587371e-06,0.0002241303352,-5.493914869e-05,-0.6396925179,1707.913749
1765.0,23,0.01794196741,0.0,-6.573785054e-06,0.0002930999856,-5.185816138e-05,-0.6764687415,1708.296129
