r,z,u_r,u_z,u_swirl,p,T
0.0,0.0,-9.077533047e-07,2.095116832e-07,-8.964514101e-05,0.0,1700.310297
0.0,0.0003576502415,-9.98187302e-07,4.058842929e-07,-8.919439359e-05,-0.01453723927,1700.752999
0.0,0.000741017226,-2.339917736e-06,8.077644877e-07,-8.822972907e-05,-0.04219747338,1701.373378
0.0,0.003113183073,-3.193226786e-05,2.641339441e-06,-8.232648924e-05,-0.1884782648,1704.35768
0.0,0.002570688198,-2.266834183e-05,2.303797215e-06,-8.366677176e-05,-0.1581200542,1703.753646
0.0,0.002064584567,-1.524823085e-05,1.949128626e-06,-8.492236174e-05,-0.1280772873,1703.157375
0.0,0.001592431009,-9.480715413e-06,1.580168114e-06,-8.609824146e-05,-0.09862828871,1702.565577
0.0,0.001151950109,-5.305273391e-06,1.199278579e-06,-8.719917324e-05,-0.06937048914,1701.973422
0.0,0.1408796344,0.0005786969429,6.894921212e-06,8.895173892e-05,1.136529593,1700.844365
0.0,0.1418250987,0.0004771421418,6.37659703e-06,8.931536895e-05,1.091107803,1699.27285
0.0,0.1427071401,0.0003890150384,5.853186349e-06,8.964389713e-05,1.045134524,1697.781668
0.0,0.1350293704,0.001324522457,9.1289711e-06,8.649088379e-05,1.332493289,1709.647924
0.0,0.1363672778,0.00114071549,8.765954809e-06,8.708067175e-05,1.299940443,1707.804645
0.0,0.1450138635,0.0001938101881,4.29916466e-06,9.044774926e-05,0.9084258669,1693.797246
0.0,0.1456819985,0.0001481384336,3.798071937e-06,9.066386332e-05,0.8643521617,1692.627222
0.0,0.1463053141,0.0001104731642,3.31007186e-06,9.085798663e-05,0.8215537024,1691.531548
0.0,0.1468868169,7.986321311e-05,2.835994774e-06,9.103221526e-05,0.7798955761,1690.506666
0.0,0.1474293118,5.5501916e-05,2.37882271e-06,9.118847764e-05,0.7400874715,1689.548816
0.0,0.1479354154,3.65128156e-05,1.936917959e-06,9.132854154e-05,0.7010821598,1688.654173
0.0,0.148407569,2.23601141e-05,1.515880278e-06,9.145401987e-05,0.6652708066,1687.818938
0.0,0.1488480499,1.208177904e-05,1.108491521e-06,9.156637877e-05,0.6285761083,1687.039405
0.0,0.1492589828,5.652651378e-06,7.248345171e-07,9.166693797e-05,0.599233508,1686.312009
0.0,0.1496423498,1.544714717e-06,3.526970582e-07,9.17568534e-05,0.5608022094,1685.633345
0.0,0.15,-4.053851971e-07,1.678239042e-07,9.179789189e-05,0.5333469403,1685.120364
0.0,0.004318001515,-5.657963442e-05,3.251088325e-06,-7.937076565e-05,-0.2498232203,1705.597847
0.0,0.004986136477,-7.225060899e-05,3.515198468e-06,-7.774420245e-05,-0.2804982236,1706.237025
0.0,0.003694685893,-4.318487424e-05,2.958379736e-06,-8.089630217e-05,-0.2190976679,1704.971833
0.0,0.143530013,0.0003131695995,5.329798545e-06,8.994029951e-05,0.9991027745,1696.372399
0.0,0.1442976865,0.0002484672866,4.810581658e-06,9.020737615e-05,0.9534078868,1695.044791
0.0,0.1286440257,0.002238135621,9.944839882e-06,8.352045776e-05,1.405300285,1716.711427
0.0,0.1267507799,0.002505732371,9.89451474e-06,8.260009469e-05,1.405930056,1718.240703
0.0,0.1247214008,0.002784133161,9.704216832e-06,8.159622523e-05,1.398723802,1719.615361
0.0,0.1304102701,0.001984440898,9.876570899e-06,8.436418316e-05,1.397191379,1715.055061
0.0,0.1376154367,0.0009749266635,8.351346421e-06,8.761789811e-05,1.263306581,1705.985237
0.0,0.1335952611,0.001526615451,9.448188829e-06,8.584447877e-05,1.359997554,1711.49055
0.0,0.1320580326,0.00174681002,9.70690006e-06,8.513713595e-05,1.381829114,1713.303633
0.0,0.1387798675,0.000826564213,7.890971181e-06,8.810640693e-05,1.223333767,1704.20943
0.0,0.1398661868,0.0006948128115,7.40215976e-06,8.854985794e-05,1.180821561,1702.492233
0.0,0.075,0.003269709389,-9.996451602e-06,4.537578466e-05,0.5954355351,1724.322582
0.0,0.08036475362,0.003759982715,-8.376385212e-06,5.101223384e-05,0.7058213118,1724.496041
0.0,0.01794196741,-0.0004147722548,2.480943763e-06,-4.800354695e-05,-0.5409244398,1714.951584
0.0,0.01958972992,-0.0004407746348,1.869075478e-06,-4.446288068e-05,-0.540713736,1715.721074
0.0,0.02135597434,-0.0004600727354,1.160465549e-06,-4.072615629e-05,-0.534245515,1716.481679
0.0,0.02324922009,-0.0004701833836,3.498566432e-07,-3.678711039e-05,-0.5215660749,1717.228133
0.0,0.01640473889,-0.0003844478689,2.993380072e-06,-5.135482062e-05,-0.5353446928,1714.178059
0.0,0.04091404404,4.746132885e-05,-7.484176581e-06,-3.210785947e-06,-0.2103899946,1721.62781
0.0,0.03783581952,-0.0001242362925,-6.255798441e-06,-8.657261338e-06,-0.2806014908,1721.11569
0.0,0.03496408621,-0.0002540930664,-5.021466279e-06,-1.389110535e-05,-0.3423370585,1720.560458
0.0,0.02527859915,-0.0004680000989,-5.596200043e-07,-3.26400419e-05,-0.5017100303,1717.954919
0.0,0.02745390016,-0.0004497645744,-1.564699344e-06,-2.828002462e-05,-0.4745081434,1718.6565
0.0,0.0297856156,-0.0004113679278,-2.653127697e-06,-2.370318367e-05,-0.4390366311,1719.327603
0.0,0.04421360745,0.0002669950394,-8.660343747e-06,2.438780309e-06,-0.1312419793,1722.096702
0.0,0.0322849924,-0.0003478688738,-3.811894203e-06,-1.890706399e-05,-0.3950280953,1719.96353
0.0,0.1225460998,0.003069165625,9.361043027e-06,8.050055115e-05,1.383848624,1720.815408
0.0,0.01497062961,-0.0003514814916,3.406250442e-06,-5.452364224e-05,-0.5255541993,1713.404819
0.0,0.0136327222,-0.0003172882379,3.731274036e-06,-5.751712066e-05,-0.5116294267,1712.635601
