r,z,u_r,u_z,u_swirl,p,T
0.0,0.0,-9.162017013e-07,2.307172616e-07,-8.96367423e-05,0.0,1700.330499
0.0,0.0003576502415,-1.061987823e-06,4.479486963e-07,-8.917763392e-05,-0.01477939491,1700.805199
0.0,0.000741017226,-2.584775241e-06,8.937209776e-07,-8.819508298e-05,-0.04286038637,1701.471709
0.0,0.003113183073,-3.568061637e-05,2.976669444e-06,-8.218281321e-05,-0.1903792728,1704.69674
0.0,0.002570688198,-2.526124535e-05,2.584789769e-06,-8.354776985e-05,-0.1599374907,1704.041735
0.0,0.002064584567,-1.69498653e-05,2.178138383e-06,-8.482652289e-05,-0.1297067783,1703.396214
0.0,0.001592431009,-1.051636929e-05,1.759453004e-06,-8.6024132e-05,-0.09998591689,1702.756623
0.0,0.001151950109,-5.867477869e-06,1.330887147e-06,-8.714543612e-05,-0.07038671535,1702.117791
0.0,0.1408796344,0.0005168355622,6.124765091e-06,8.946535577e-05,1.730468494,1700.55158
0.0,0.1418250987,0.0004265474132,5.673671447e-06,8.977521717e-05,1.682168977,1699.00583
0.0,0.1427071401,0.0003480766308,5.215694206e-06,9.005340658e-05,1.633466057,1697.540327
0.0,0.1350293704,0.001175635933,8.017170506e-06,8.732685018e-05,1.943336952,1709.257493
0.0,0.1363672778,0.00101394896,7.705717812e-06,8.78450771e-05,1.907138886,1707.424966
0.0,0.1450138635,0.0001738145039,3.845230424e-06,9.072549156e-05,1.489546232,1693.62853
0.0,0.1456819985,0.0001329428321,3.400570871e-06,9.090359195e-05,1.443359341,1692.480558
0.0,0.1463053141,9.920266211e-05,2.966490399e-06,9.106238753e-05,1.398574493,1691.405716
0.0,0.1468868169,7.175674089e-05,2.543846098e-06,9.120381226e-05,1.355065547,1690.400438
0.0,0.1474293118,4.98963602e-05,2.135537404e-06,9.132963549e-05,1.313500786,1689.460986
0.0,0.1479354154,3.284121777e-05,1.740088786e-06,9.144147058e-05,1.272893969,1688.583573
0.0,0.148407569,2.01265698e-05,1.362854935e-06,9.154078213e-05,1.23549777,1687.764451
0.0,0.1488480499,1.08863661e-05,9.970840121e-07,9.162889478e-05,1.19747107,1686.999976
0.0,0.1492589828,5.118506806e-06,6.526470162e-07,9.170699462e-05,1.166488052,1686.286639
0.0,0.1496423498,1.338500963e-06,3.180058423e-07,9.177611317e-05,1.127277924,1685.621098
0.0,0.15,-5.114729531e-07,1.512068827e-07,9.180748794e-05,1.100106139,1685.118037
0.0,0.004318001515,-6.361331477e-05,3.702529776e-06,-7.917289774e-05,-0.2515026676,1706.044864
0.0,0.004986136477,-8.152227291e-05,4.028550503e-06,-7.751666384e-05,-0.2818273031,1706.741389
0.0,0.003694685893,-4.839674066e-05,3.35049986e-06,-8.072636322e-05,-0.2209602295,1705.363805
0.0,0.143530013,0.0002804441917,4.755762926e-06,9.03027752e-05,1.584881117,1696.15619
0.0,0.1442976865,0.0002226740325,4.297767862e-06,9.052598072e-05,1.536781648,1694.852856
